iter	Logloss
0	0.6756832781
1	0.6583226488
2	0.6407087811
3	0.6231885909
4	0.6078438865
5	0.5949260665
6	0.5792109704
7	0.5655328596
8	0.5529430253
9	0.539563805
10	0.5282548411
11	0.5181953296
12	0.5058363502
13	0.4950667658
14	0.4851149376
15	0.4751552156
16	0.4655906083
17	0.453217984
18	0.4450216584
19	0.4358876552
20	0.4269769197
21	0.4189433828
22	0.4105444684
23	0.403793003
24	0.3965905714
25	0.3874687749
26	0.3801569618
27	0.3739204502
28	0.3670564698
29	0.3615884638
30	0.3569503427
31	0.3507661616
32	0.3439070265
33	0.3393830315
34	0.3346921853
35	0.3299450603
36	0.3257123635
37	0.3204625316
38	0.3163951394
39	0.3124291089
40	0.3087069905
41	0.3042577337
42	0.2991579142
43	0.2956232698
44	0.2912361965
45	0.2878144885
46	0.2846746622
47	0.2816869859
48	0.2777513147
49	0.2738145977
50	0.2705218175
51	0.26827804
52	0.2646889811
53	0.2619987612
54	0.2590726756
55	0.2563761981
56	0.2540268964
57	0.2514297196
58	0.2498457483
59	0.2475125227
60	0.2448606328
61	0.2421626862
62	0.2401921972
63	0.2380661535
64	0.2359279001
65	0.2326142673
66	0.2292525739
67	0.2270512034
68	0.2246511964
69	0.2220097142
70	0.2205761446
71	0.2186835322
72	0.2165391938
73	0.2143020355
74	0.2124771585
75	0.2108233014
76	0.2091637263
77	0.2075744305
78	0.2055922217
79	0.2041144079
80	0.2028319604
81	0.2014018769
82	0.2000949496
83	0.1985468701
84	0.1973416011
85	0.1956882314
86	0.1947939349
87	0.1932591231
88	0.1920638531
89	0.1912049202
90	0.1901858884
91	0.1892013652
92	0.1884835505
93	0.1875802291
94	0.1862823842
95	0.1849010846
96	0.1830189734
97	0.1818269038
98	0.1807802055
99	0.1796795911
100	0.1784482398
101	0.1771453249
102	0.1763492786
103	0.1755451552
104	0.1747173065
105	0.1738614767
106	0.1729308123
107	0.1719696467
108	0.1709144288
109	0.1700423631
110	0.1692064739
111	0.1680533924
112	0.1674309797
113	0.1665498366
114	0.1657952242
115	0.1651495006
116	0.1641519682
117	0.1630857183
118	0.1622754926
119	0.1617477265
120	0.160828878
121	0.160119103
122	0.1592479215
123	0.1585711252
124	0.1579459886
125	0.157348076
126	0.1568233207
127	0.1560627056
128	0.1555683419
129	0.1550116114
130	0.154476831
131	0.1536047946
132	0.1528279071
133	0.1520553448
134	0.1510065691
135	0.1504411729
136	0.1495675004
137	0.1490362666
138	0.1486627551
139	0.1481242613
140	0.1477475974
141	0.1471117539
142	0.1466996477
143	0.1462255721
144	0.145682662
145	0.1450702596
146	0.144719879
147	0.1438070627
148	0.1435699136
149	0.1432004338
150	0.1426705557
151	0.1422411583
152	0.1415693905
153	0.1410659056
154	0.1405241921
155	0.1399849856
156	0.1394354848
157	0.1388619491
158	0.1383650541
159	0.1378834712
160	0.1372420676
161	0.1369047291
162	0.1365068878
163	0.1359852929
164	0.1356719803
165	0.1351638872
166	0.1346479063
167	0.1342781015
168	0.1337292778
169	0.133286087
170	0.1328164677
171	0.1324848702
172	0.1318004642
173	0.1315125241
174	0.1310412947
175	0.130588169
176	0.1302086266
177	0.1298654976
178	0.1294870109
179	0.1290248875
180	0.1286575125
181	0.1283375781
182	0.1278924823
183	0.1274586384
184	0.1270264004
185	0.12667472
186	0.126352813
187	0.1259826328
188	0.1256173575
189	0.1250896395
190	0.1246092518
191	0.12421999
192	0.1235656786
193	0.1232169228
194	0.1228795028
195	0.1226626594
196	0.1224520866
197	0.1221727035
198	0.1218283836
199	0.1213794986
200	0.1211230706
201	0.1208433505
202	0.1205025661
203	0.1201767842
204	0.119703152
205	0.1192311475
206	0.1189960053
207	0.1185736846
208	0.1182624816
209	0.1179023259
210	0.117515338
211	0.11726499
212	0.1169388606
213	0.1165487708
214	0.1161569158
215	0.1158181569
216	0.1155403916
217	0.1153098374
218	0.1150518583
219	0.1146921284
220	0.1143720067
221	0.1140912577
222	0.1136062089
223	0.1132380906
224	0.1129438331
225	0.1126962052
226	0.1123168169
227	0.1119793744
228	0.1116513168
229	0.1114325437
230	0.1111173762
231	0.1106916898
232	0.1104149038
233	0.1100892221
234	0.1098076107
235	0.1095414708
236	0.1093165992
237	0.1090178326
238	0.1087456692
239	0.108300023
240	0.1081572102
241	0.1079133837
242	0.1076970889
243	0.1072417214
244	0.106993674
245	0.1068431274
246	0.1065333347
247	0.1062806527
248	0.1060867304
249	0.1056099722
250	0.1052992886
251	0.1049156078
252	0.1046782451
253	0.1044382769
254	0.1041200593
255	0.1039096071
256	0.1036513339
257	0.1034344408
258	0.1031948222
259	0.1027156051
260	0.1024321288
261	0.1022331798
262	0.1020250782
263	0.1017554708
264	0.1015679026
265	0.1012768739
266	0.1011039401
267	0.1008173295
268	0.1005006707
269	0.1001443158
270	0.09998003391
271	0.09960753405
272	0.09942450865
273	0.09924875371
274	0.099056367
275	0.09873181059
276	0.09837313573
277	0.09817057708
278	0.098094073
279	0.09781603936
280	0.09750911855
281	0.09732907495
282	0.09710462865
283	0.09689667437
284	0.09662146158
285	0.09643002007
286	0.09621169478
287	0.09592540763
288	0.09575123732
289	0.0954833099
290	0.09519497358
